"안전비상벨관리번호","설치위치","소재지도로명주소","소재지지번주소","위도","경도","관리기관명","관리기관전화번호"
"25","성북천교(동대문경찰서교통센터 앞)","서울특별시 동대문구 청계천로7길 4(용두동)","서울특별시 동대문구 용두동 255-47",37.5708286009,127.0281453,"서울특별시 동대문구 청소행정과","02-2127-4737"
"26","황학교(입구)","서울특별시 동대문구 신설동 109-7","서울특별시 동대문구 신설동 109-7",37.572163,127.023559,"서울특별시 동대문구 청소행정과","02-2127-4737"
"27","회기(회기역 앞 사거리)","서울특별시 동대문구 회기로 176(회기동)","서울특별시 동대문구 회기동 81",37.5901110465,127.0553692,"서울특별시 동대문구 청소행정과","02-2127-4737"
"28","신이문역(1번출구)","서울특별시 동대문구 이문2동 217-3","서울특별시 동대문구 이문2동 217-3",37.60288,127.067488,"서울특별시 동대문구 청소행정과","02-2127-4737"
"29","장안1제방(장안래미안1차 앞 제방)","서울특별시 동대문구 장안1동 345-3","서울특별시 동대문구 장안1동 345-3",37.564765,127.073296,"서울특별시 동대문구 청소행정과","02-2127-4737"
"30","제1체육공원(동대문구민회관 앞 제방)","서울특별시 동대문구 장안1동 481-5","서울특별시 동대문구 장안1동 481-5",37.566702,127.074649,"서울특별시 동대문구 청소행정과","02-2127-4737"
"31","장평교(옆 제방)","서울특별시 동대문구 장안1동 481-3","서울특별시 동대문구 장안1동 481-3",37.571448,127.077048,"서울특별시 동대문구 청소행정과","02-2127-4737"
"32","장안2제방(장안래미안2차 앞 제방)","서울특별시 동대문구 장안2동 481-2","서울특별시 동대문구 장안2동 481-2",37.575038,127.077025,"서울특별시 동대문구 청소행정과","02-2127-4737"
"33","장안교(남단 제방)","서울특별시 동대문구 장안2동 481-2","서울특별시 동대문구 장안2동 481-2",37.579939,127.076286,"서울특별시 동대문구 청소행정과","02-2127-4737"
"34","제3체육공원(한국산업인력공단 앞 제방)","서울특별시 동대문구 휘경동 49-15","서울특별시 동대문구 휘경동 49-15",37.583969,127.073323,"서울특별시 동대문구 청소행정과","02-2127-4737"
"35","제4체육공원(입구 제방)","서울특별시 동대문구 휘경1동 2-4","서울특별시 동대문구 휘경1동 2-4",37.593203,127.068905,"서울특별시 동대문구 청소행정과","02-2127-4737"
"36","이문1제방(성북구 경계 제방)","서울특별시 동대문구 이문2동 353","서울특별시 동대문구 이문2동 353",37.607245,127.070465,"서울특별시 동대문구 청소행정과","02-2127-4737"
"37","이문2제방(쌍용아파트 104동 건너편)","서울특별시 동대문구 이문2동 98-1","서울특별시 동대문구 이문2동 98-1",37.59792,127.068594,"서울특별시 동대문구 청소행정과","02-2127-4737"
"38","청량리(청량리먹자골목)","서울특별시 동대문구 왕산로41길 18(청량리동)","서울특별시 동대문구 청량리동 341",37.58123152,127.045307,"서울특별시 동대문구 청소행정과","02-2127-4737"
"도봉1C1001","도봉산3길 57 바다회갯벌","서울특별시 도봉구 도봉산3길 57",NA,37.684728,127.0438041,"도봉구청","02-2091-2991"
"도봉1C1002","도봉로187길 10 무지개공원 입구","서울특별시 도봉구 도봉로187길 10",NA,37.6859609,127.0452803,"도봉구청","02-2091-2991"
"도봉1C1003","도봉로181길 29 해가온 앞","서울특별시 도봉구 도봉로181길 29",NA,37.68410653,127.0441865,"도봉구청","02-2091-2991"
"도봉2C1004","도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주","서울특별시 도봉구 도봉로180길 53",NA,37.68253694,127.0489787,"도봉구청","02-2091-2991"
"도봉1C1005","도봉로181가길 29 미래마트 앞","서울특별시 도봉구 도봉로181가길 29",NA,37.6826291,127.0451903,"도봉구청","02-2091-2991"
"도봉1C1007","도봉로171길 70-6 사거리 앞 전주","서울특별시 도봉구 도봉로171길 70-6",NA,37.6789652,127.0401342,"도봉구청","02-2091-2991"
"도봉2C1008","도봉로164길 5 ABC렌터카 앞 전주","서울특별시 도봉구 도봉로164길 5",NA,37.6760843,127.0452175,"도봉구청","02-2091-2991"
"도봉2C1009","도봉로162길 21","서울특별시 도봉구 도봉로162길 21",NA,37.6748153,127.0460727,"도봉구청","02-2091-2991"
"도봉1C1010","도봉로169나길 89 한울머리터","서울특별시 도봉구 도봉로169나길 89",NA,37.6755702,127.0437074,"도봉구청","02-2091-2991"
"도봉1C1011","시루봉로23길 51 삼성빌라 앞","서울특별시 도봉구 시루봉로23길 51",NA,37.6729617,127.0408287,"도봉구청","02-2091-2991"
"도봉2C1012","도봉로160길 17 갈대밭공원 입구","서울특별시 도봉구 도봉로160길 17",NA,37.6742299,127.0455451,"도봉구청","02-2091-2991"
"도봉2C1013","도봉로156길 22 도봉마트","서울특별시 도봉구 도봉로156길 22",NA,37.6725151,127.0455217,"도봉구청","02-2091-2991"
"도봉2C1015","마들로 683 휴먼안경점","서울특별시 도봉구 마들로 683",NA,37.6712945,127.0462277,"도봉구청","02-2091-2991"
"도봉2C1016","도봉로154길 18 도봉중학교 후문","서울특별시 도봉구 도봉로154길 18",NA,37.6710777,127.0450425,"도봉구청","02-2091-2991"
"도봉1C1017","도당로27길 60 고향식당 앞","서울특별시 도봉구 도당로27길 60",NA,37.6700601,127.0412254,"도봉구청","02-2091-2991"
"도봉1C1018","도봉로157길 41","서울특별시 도봉구 도봉로157길 41",NA,37.6734006,127.0417231,"도봉구청","02-2091-2991"
"도봉1C1019","도봉로173길 122-6","서울특별시 도봉구 도봉로173길 122-6",NA,37.6787983,127.0373673,"도봉구청","02-2091-2991"
"도봉2C1020","도봉로156길 32 도봉왕족발보쌈 골목","서울특별시 도봉구 도봉로156길 32",NA,37.6725244,127.0461247,"도봉구청","02-2091-2991"
"방학2C2001","도당로19길 64 오마트 맞은편","서울특별시 도봉구 도당로19길 64",NA,37.669849,127.0396468,"도봉구청","02-2091-2991"
"방학1C2002","도당로27길 48 명품부동산 앞 전주","서울특별시 도봉구 도당로27길 48",NA,37.6694522,127.0410496,"도봉구청","02-2091-2991"
"방학2C2003","도당로19길 37 생잇들어린이공원 입구","서울특별시 도봉구 도당로19길 37",NA,37.6687114,127.0392523,"도봉구청","02-2091-2991"
"C2004","도봉로152가길 10 방학2번출구 돼지한마리 앞","서울특별시 도봉구 도봉로152가길 10",NA,37.66992146,127.0443413,"도봉구청","02-2091-2991"
"방학2C2005","시루봉로22길 19 청주슈퍼 앞","서울특별시 도봉구 시루봉로22길 19",NA,37.6689524,127.0376498,"도봉구청","02-2091-2991"
"방학2C2006","도당로13바길 55 마을슈퍼","서울특별시 도봉구 도당로13바길 55",NA,37.6685982,127.0362069,"도봉구청","02-2091-2991"
"방학2C2007","시루봉로15길 33 샘말어린이공원 입구","서울특별시 도봉구 시루봉로15길 33",NA,37.6684275,127.0319675,"도봉구청","02-2091-2991"
"방학2C2008","시루봉로 208 SK텔레콤 앞 전주","서울특별시 도봉구 시루봉로 208",NA,37.6672783,127.0335761,"도봉구청","02-2091-2991"
"방학2C2009","시루봉로17길 23 한일슈퍼 앞 전주","서울특별시 도봉구 시루봉로17길 23",NA,37.6689042,127.0334111,"도봉구청","02-2091-2991"
"방학2C2010","시루봉로15길 83 약수수퍼앞","서울특별시 도봉구 시루봉로15길 83",NA,37.6688752,127.0297616,"도봉구청","02-2091-2991"
"방학2C2011","도당로17길 14 바다문고 앞","서울특별시 도봉구 도당로17길 14",NA,37.6670582,127.0378341,"도봉구청","02-2091-2991"
"방학1C2012","도당로29길 9 수정슈퍼","서울특별시 도봉구 도당로29길 9",NA,37.66769884,127.0416016,"도봉구청","02-2091-2991"
"방학1C2013","방학로2길 67 해밀인테리어 앞 전주","서울특별시 도봉구 방학로2길 67",NA,37.665947,127.0407932,"도봉구청","02-2091-2991"
"방학1C2014","방학로4길 71 럭키슈퍼 앞","서울특별시 도봉구 방학로4길 71",NA,37.6660131,127.0387328,"도봉구청","02-2091-2991"
"방학1C2015","도봉로145길 94 정주슈퍼마켓 앞 전주","서울특별시 도봉구 도봉로145길 94",NA,37.6652583,127.0376601,"도봉구청","02-2091-2991"
"방학1C2017","도당로13나길 108","서울특별시 도봉구 도당로13나길 108",NA,37.6681582,127.040139,"도봉구청","02-2091-2991"
"방학1C2018","도봉로146길 40 브라운스톤 아파트상가 옆 굴다리","서울특별시 도봉구 도봉로146길 40",NA,37.6640831,127.0451695,"도봉구청","02-2091-2991"
"방학1C2019","방학로3길 12-29 주택가","서울특별시 도봉구 방학로3길 12-29",NA,37.6621027,127.0396242,"도봉구청","02-2091-2991"
"방학1C2020","도봉로145나길 23","서울특별시 도봉구 도봉로145나길 23",NA,37.6655472,127.0416053,"도봉구청","02-2091-2991"
"방학1C2021","도당로29길 31 삼성부동산","서울특별시 도봉구 도당로29길 31",NA,37.6685898,127.0418099,"도봉구청","02-2091-2991"
"방학3C2022","시루봉로 149-15 산길두부앞","서울특별시 도봉구 시루봉로 149-15",NA,37.6644579,127.0278401,"도봉구청","02-2091-2991"
"방학2C2023","시루봉로 219 GS25편의점","서울특별시 도봉구 시루봉로 219",NA,37.6680715,127.0342652,"도봉구청","02-2091-2991"
"방학2C2024","시루봉로 245-26 신신빌라","서울특별시 도봉구 시루봉로 245-26",NA,37.669996,127.0364563,"도봉구청","02-2091-2991"
"방학2C2025","시루봉로15자길 14 진수암앞","서울특별시 도봉구 시루봉로15자길 14",NA,37.6698088,127.0308773,"도봉구청","02-2091-2991"
"방학1C2026","도봉로 145가길 12 대성냉장 앞","서울특별시 도봉구 도봉로 145가길 12",NA,37.6641056,127.0418245,"도봉구청","02-2091-2991"
"쌍문2C3001","방학로3길 30 한국주방 앞","서울특별시 도봉구 방학로3길 30",NA,37.6613663,127.0407048,"도봉구청","02-2091-2991"
"쌍문2C3002","도봉로139길 30 노해공원 입구","서울특별시 도봉구 도봉로139길 30",NA,37.6608634,127.0400142,"도봉구청","02-2091-2991"
"C3003","도봉로143길 50 수도암 앞","서울특별시 도봉구 도봉로143길 50",NA,37.6618386,127.0392785,"도봉구청","02-2091-2991"
"쌍문2C3005","도봉로129길 54 창경초 후문","서울특별시 도봉구 도봉로129길 54",NA,37.6561144,127.0347544,"도봉구청","02-2091-2991"
"쌍문2C3006","도봉로127길 10 경일운수 정문","서울특별시 도봉구 도봉로127길 10",NA,37.6541769,127.0372523,"도봉구청","02-2091-2991"
"쌍문2C3007","도봉로123길 53 정의여고 후문","서울특별시 도봉구 도봉로123길 53",NA,37.653359,127.0339843,"도봉구청","02-2091-2991"
"쌍문4C3008","노해로55길 13 민경미용실 앞 전주","서울특별시 도봉구 노해로55길 13",NA,37.6517058,127.0321348,"도봉구청","02-2091-2991"
"쌍문1C3009","해등로36길 4 금강슈퍼","서울특별시 도봉구 해등로36길 4",NA,37.6578504,127.0152113,"도봉구청","02-2091-2991"
"쌍문1C3010","우이천로48길 67 삼익빌라","서울특별시 도봉구 우이천로48길 67",NA,37.6549876,127.0191896,"도봉구청","02-2091-2991"
"쌍문1C3011","우이천로48길 17 우이성당 앞","서울특별시 도봉구 우이천로48길 17",NA,37.6561845,127.0166307,"도봉구청","02-2091-2991"
"쌍문1C3013","시루봉로1길 76 동익 APT 2동 뒷길","서울특별시 도봉구 시루봉로1길 76",NA,37.6522757,127.0238829,"도봉구청","02-2091-2991"
"쌍문1C3014","우이천로38길 84 궁전하이츠빌","서울특별시 도봉구 우이천로38길 84",NA,37.6527863,127.0226455,"도봉구청","02-2091-2991"
"쌍문1C3015","노해로45길 47 동익효건인테리어 앞","서울특별시 도봉구 노해로45길 47",NA,37.6508788,127.0254798,"도봉구청","02-2091-2991"
"쌍문3C3017","도봉로117길 11 신도봉중 담장모퉁이 씨마트앞","서울특별시 도봉구 도봉로117길 11",NA,37.6494165,127.0342439,"도봉구청","02-2091-2991"
"쌍문2C3018","도봉로117길 51 크리넥스 종합유통 슈퍼","서울특별시 도봉구 도봉로117길 51",NA,37.6496335,127.0321379,"도봉구청","02-2091-2991"
"C3019","도봉로 484 쌍문역 1번출구","서울특별시 도봉구 도봉로 484",NA,37.6485806,127.0350548,"도봉구청","02-2091-2991"
"C3020","도봉로 484 쌍문역 2번출구","서울특별시 도봉구 도봉로 484",NA,37.6485806,127.0350548,"도봉구청","02-2091-2991"
"쌍문3C3021","도봉로113길 16 신신약국앞 전주","서울특별시 도봉구 도봉로113길 16",NA,37.6482352,127.0332541,"도봉구청","02-2091-2991"
"쌍문3C3022","노해로48길 47 신안빌라 주변","서울특별시 도봉구 노해로48길 47",NA,37.6503047,127.0309257,"도봉구청","02-2091-2991"
"쌍문3C3023","도봉로109길 62 꾼타락 앞 전주","서울특별시 도봉구 도봉로109길 62",NA,37.6472915,127.0300288,"도봉구청","02-2091-2991"
"쌍문3C3024","도봉로117길 88 둥근달 놀이터 앞","서울특별시 도봉구 도봉로117길 88",NA,37.6495447,127.0301083,"도봉구청","02-2091-2991"
"쌍문3C3025","노해로48길 13 다산빌라 앞","서울특별시 도봉구 노해로48길 13",NA,37.6500559,127.0291565,"도봉구청","02-2091-2991"
"쌍문3C3026","노해로44길 20 주민센터 팔각정 옆","서울특별시 도봉구 노해로44길 20",NA,37.6485646,127.028266,"도봉구청","02-2091-2991"
"쌍문3C3027","도봉로103길 11 CU편의점 맞은편앞","서울특별시 도봉구 도봉로103길 11",NA,37.6447624,127.0314702,"도봉구청","02-2091-2991"
"쌍문1C3028","우이천로39나길 11-2","서울특별시 도봉구 우이천로39나길 11-2",NA,37.6493829,127.0189256,"도봉구청","02-2091-2991"
"쌍문1C3029","우이천로38길 25 동성연립 옆","서울특별시 도봉구 우이천로38길 25",NA,37.6506436,127.0226453,"도봉구청","02-2091-2991"
"쌍문3C3030","도봉로113길 54 귀석전기열쇠","서울특별시 도봉구 도봉로113길 54",NA,37.648386,127.0312101,"도봉구청","02-2091-2991"
"쌍문1C3031","우이천로38라길 28 쌍문 중앙교회 앞","서울특별시 도봉구 우이천로38라길 28",NA,37.6528919,127.0240822,"도봉구청","02-2091-2991"
"창5C4001","도봉로140길 14 한신목재 앞","서울특별시 도봉구 도봉로140길 14",NA,37.660796,127.0430378,"도봉구청","02-2091-2991"
"창5C4002","노해로63다길 80 은성교회 옆 한전주","서울특별시 도봉구 노해로63다길 80",NA,37.6556321,127.044583,"도봉구청","02-2091-2991"
"창5C4003","도봉로126길 16 고은머리 앞","서울특별시 도봉구 도봉로126길 16",NA,37.6526678,127.0382657,"도봉구청","02-2091-2991"
"창5C4004","해등로14길 8 삼호맨션","서울특별시 도봉구 해등로14길 8",NA,37.6548019,127.0413139,"도봉구청","02-2091-2991"
"창5C4005","해등로 133-23 오토프라자 앞","서울특별시 도봉구 해등로 133-23",NA,37.65528,127.0399422,"도봉구청","02-2091-2991"
"창5C4007","마들로11길 77 창동역 2번 출구 오른쪽통로 천장","서울특별시 도봉구 마들로11길 77",NA,37.6531856,127.0481139,"도봉구청","02-2091-2991"
"창5C4008","노해로63나길 17 삼양빌라2동옆","서울특별시 도봉구 노해로63나길 17",NA,37.6539492,127.0440527,"도봉구청","02-2091-2991"
"창5C4009","마들로11길 77 창동역 1번출구 계단 오른쪽 옆","서울특별시 도봉구 마들로11길 77",NA,37.6531856,127.0481139,"도봉구청","02-2091-2991"
"창5C4010","마들로11길 77 창동역 2번출구 계단 앞","서울특별시 도봉구 마들로11길 77",NA,37.6531856,127.0481139,"도봉구청","02-2091-2991"
"창5C4011","마들로11가길 12 맞은편(창동역 1번출구 왼쪽 창동문화마당 옆)","서울특별시 도봉구 마들로11가길 12",NA,37.6527747,127.0487889,"도봉구청","02-2091-2991"
"창5C4012","노해로65길 14-3 창동이마트 뒷편,종로프라자약국","서울특별시 도봉구 노해로65길 14-3",NA,37.6520293,127.0467461,"도봉구청","02-2091-2991"
"창1C4013","도봉로120길 16 영광교회 앞","서울특별시 도봉구 도봉로120길 16",NA,37.6502254,127.0374144,"도봉구청","02-2091-2991"
"창1C4014","도봉로118길 15 창문어린이집 앞","서울특별시 도봉구 도봉로118길 15",NA,37.6489957,127.0361237,"도봉구청","02-2091-2991"
"창1C4015","도봉로110나길 54-5 창동 하이빌","서울특별시 도봉구 도봉로110나길 54-5",NA,37.648506,127.0359544,"도봉구청","02-2091-2991"
"창1C4016","노해로62길 51-10 금성파크빌1동앞","서울특별시 도봉구 노해로62길 51-10",NA,37.6488007,127.0385059,"도봉구청","02-2091-2991"
"창1C4017","도봉로110바길 29 굿모닝 부동산","서울특별시 도봉구 도봉로110바길 29",NA,37.6476113,127.0371671,"도봉구청","02-2091-2991"
"창1C4018","도봉로112길 31 헤어뱅크","서울특별시 도봉구 도봉로112길 31",NA,37.646933,127.0364212,"도봉구청","02-2091-2991"
"창2C4019","도봉로104길 104 해바라기 빌라 모퉁이","서울특별시 도봉구 도봉로104길 104",NA,37.6437369,127.0377236,"도봉구청","02-2091-2991"
"창2C4020","도봉로106길 59 세븐일레븐 편의점앞","서울특별시 도봉구 도봉로106길 59",NA,37.6448751,127.0359843,"도봉구청","02-2091-2991"
"창2C4021","도봉로108길 91 대성수퍼앞","서울특별시 도봉구 도봉로108길 91",NA,37.6458467,127.0390041,"도봉구청","02-2091-2991"
"창2C4022","도봉로104길 142 창고개어린이공원 입구 천사슈퍼","서울특별시 도봉구 도봉로104길 142",NA,37.6445332,127.0395853,"도봉구청","02-2091-2991"
"창2C4023","덕릉로63가길 18 수현공판장 앞","서울특별시 도봉구 덕릉로63가길 18",NA,37.643659,127.0393371,"도봉구청","02-2091-2991"
"창2C4024","덕릉로61길 26 성원하이츠","서울특별시 도봉구 덕릉로61길 26",NA,37.6416914,127.039027,"도봉구청","02-2091-2991"
"창2C4025","덕릉로59차길 24 대동건축 인테리어앞","서울특별시 도봉구 덕릉로59차길 24",NA,37.6407796,127.0353891,"도봉구청","02-2091-2991"
"창3C4026","덕릉로60나길 16 신창어린이공원 앞","서울특별시 도봉구 덕릉로60나길 16",NA,37.6397429,127.0408548,"도봉구청","02-2091-2991"
"창3C4027","덕릉로60길 9 삼대냉면 앞 전주","서울특별시 도봉구 덕릉로60길 9",NA,37.6397547,127.0400887,"도봉구청","02-2091-2991"
"창3C4028","덕릉로60아길 14 초안산식당 앞 전주","서울특별시 도봉구 덕릉로60아길 14",NA,37.638353,127.0417916,"도봉구청","02-2091-2991"
"창3C4030","우이천로4다길 32 국제트랜스앞 전주","서울특별시 도봉구 우이천로4다길 32",NA,37.6352697,127.0405724,"도봉구청","02-2091-2991"
"창1C4031","덕릉로53길 35 유성페인트 앞","서울특별시 도봉구 덕릉로53길 35",NA,37.6387655,127.035576,"도봉구청","02-2091-2991"
"창3C4032","덕릉로54길 23 바다횟집앞","서울특별시 도봉구 덕릉로54길 23",NA,37.6372063,127.0385115,"도봉구청","02-2091-2991"
"창3C4033","덕릉로60길 150 미진한우마을","서울특별시 도봉구 덕릉로60길 150",NA,37.6339313,127.0428579,"도봉구청","02-2091-2991"
"창1C4034","덕릉로 376 녹천역 1번출구 정류장 의자옆","서울특별시 도봉구 덕릉로 376",NA,37.64569681,127.0509216,"도봉구청","02-2091-2991"
"창3C4035","우이천로4길 24 농협사거리 전주","서울특별시 도봉구 우이천로4길 24",NA,37.6335953,127.0408704,"도봉구청","02-2091-2991"
"창5C4036","마들로11길 77 창동역 1번출구 오른쪽 농구장 앞","서울특별시 도봉구 마들로11길 77",NA,37.6531856,127.0481139,"도봉구청","02-2091-2991"
"창5C4037","도봉로134길 13 하나님의 교회","서울특별시 도봉구 도봉로134길 13",NA,37.6574111,127.040954,"도봉구청","02-2091-2991"
"창1C4038","노해로66길 60 창동레미안 111동 입구","서울특별시 도봉구 노해로66길 60",NA,37.6488018,127.0465188,"도봉구청","02-2091-2991"
"창2C4039","도봉로110아길 18 보헤미안 미용실","서울특별시 도봉구 도봉로110아길 18",NA,37.6454582,127.0374363,"도봉구청","02-2091-2991"
"창2C4040","덕릉로62길 112 부림맨션 가동 옆","서울특별시 도봉구 덕릉로62길 112",NA,37.6370547,127.0425776,"도봉구청","02-2091-2991"
"창5C4041","마들로11길 77 창동역 2번 출구 자전거보관소","서울특별시 도봉구 마들로11길 77",NA,37.6531856,127.0481139,"도봉구청","02-2091-2991"
"도봉1C1062","도봉산3길 79","서울특별시 도봉구 도봉산3길 79",NA,37.6837845,127.0436733,"도봉구청","02-2091-2991"
"도봉1C1063","시루봉로23가길 11-2","서울특별시 도봉구 시루봉로23가길 11-2",NA,37.6721919,127.0392312,"도봉구청","02-2091-2991"
"도봉1C1064","도봉로173가길 18-1","서울특별시 도봉구 도봉로173가길 18-1",NA,37.6800142,127.0399557,"도봉구청","02-2091-2991"
"도봉1C1065","도봉로 851","서울특별시 도봉구 도봉로 851",NA,37.6803978,127.0450051,"도봉구청","02-2091-2991"
"도봉1C1068","도봉로 883-10","서울특별시 도봉구 도봉로 883-10",NA,37.6833254,127.0451655,"도봉구청","02-2091-2991"
"도봉1C1069","도봉로175길 17","서울특별시 도봉구 도봉로175길 17",NA,37.682645,127.0424862,"도봉구청","02-2091-2991"
"도봉1C1070","도봉로167길 55","서울특별시 도봉구 도봉로167길 55",NA,37.677674,127.0418189,"도봉구청","02-2091-2991"
"도봉1C1071","도봉로169나길 56","서울특별시 도봉구 도봉로169나길 56",NA,37.677198,127.0435584,"도봉구청","02-2091-2991"
"도봉1C1075","도당로19길 78","서울특별시 도봉구 도당로19길 78",NA,37.6704614,127.039826,"도봉구청","02-2091-2991"
"도봉1C1076","시루봉로23나길18(도봉맨션 앞 삼거리)","서울특별시 도봉구 시루봉로23나길18",NA,37.6732009,127.0403166,"도봉구청","02-2091-2991"
"도봉1C1077","도당로31길 70","서울특별시 도봉구 도당로31길 70",NA,37.6702283,127.0429722,"도봉구청","02-2091-2991"
"도봉1C1078","도봉로181길 13","서울특별시 도봉구 도봉로181길 13",NA,37.6838352,127.0451511,"도봉구청","02-2091-2991"
"도봉1C1079","도봉로173다길 42-18","서울특별시 도봉구 도봉로173다길 42-18",NA,37.6791892,127.0356992,"도봉구청","02-2091-2991"
"도봉1C1080","도당로29길 83","서울특별시 도봉구 도당로29길 83",NA,37.6709524,127.0422567,"도봉구청","02-2091-2991"
"도봉1C1081","도봉로 783","서울특별시 도봉구 도봉로 783",NA,37.674434,127.0440507,"도봉구청","02-2091-2991"
"도봉1C1082","도봉로169길 57(대성슈퍼 앞)","서울특별시 도봉구 도봉로169길 57",NA,37.679079,127.0427429,"도봉구청","02-2091-2991"
"도봉1C1083","도봉로159길 19(도봉고시텔 앞)","서울특별시 도봉구 도봉로159길 19",NA,37.6742605,127.0430928,"도봉구청","02-2091-2991"
"도봉1C1085","도봉로169나길 42-3","서울특별시 도봉구 도봉로169나길 42-3",NA,37.6776695,127.0433675,"도봉구청","02-2091-2991"
"도봉1C1086","도봉로187길 63","서울특별시 도봉구 도봉로187길 63",NA,37.6860889,127.0423943,"도봉구청","02-2091-2991"
"도봉1C1021","도봉로 181나길 16 상평드림빌 상평드림빌","서울특별시 도봉구 도봉로 181나길 16",NA,37.683413,127.0444094,"도봉구청","02-2091-2991"
"도봉1C1023","도봉로 169다길 20 블루빌A","서울특별시 도봉구 도봉로 169다길 20",NA,37.6772989,127.0430039,"도봉구청","02-2091-2991"
"도봉1C1025","도봉로 155길 24 비어뱅크 앞","서울특별시 도봉구 도봉로 155길 24",NA,37.6730126,127.0426474,"도봉구청","02-2091-2991"
